qid,video_id,source_dataset,video_duration_sec,stratum,stem,choice_A_text,choice_A_spec,choice_A_nsvs_score,choice_A_n_windows,choice_A_satisfied,choice_B_text,choice_B_spec,choice_B_nsvs_score,choice_B_n_windows,choice_B_satisfied,choice_C_text,choice_C_spec,choice_C_nsvs_score,choice_C_n_windows,choice_C_satisfied,choice_D_text,choice_D_spec,choice_D_nsvs_score,choice_D_n_windows,choice_D_satisfied,argmax_choice,argmax_score,runner_up_score,differentiation_gap,sub5b_current_answer,sub1_current_answer,argmax_matches_sub1,run_status
74,star_2MGC1.mp4,star,0.52,short_star_agqa,What action does the person do throughout the video ?,tidy up a blanket/s,"(""person_tidies_up_a_blankets"")",0.93,0,False,open a door,"(""person_opens_a_door"")",0.743,1,True,take some clothes from somewhere,"(""person_takes_some_clothes_from_somewhere"")",0.351,0,False,throw a blanket somewhere,"(""person_throws_a_blanket_somewhere"")",0.445,0,False,A,0.93,0.743,0.18700000000000006,B,B,False,ok
196,star_FV9AL.mp4,star,0.16,short_star_agqa,What action does the person do throughout the video ?,hold a vacuum,"(""person_holds_a_vacuum"")",0.892,0,False,take a bag from somewhere,"(""person_takes_a_bag_from_somewhere"")",0.752,0,False,lie on a sofa/couch,"(""person_lies_on_a_sofacouch"")",0.966,0,False,open a door,"(""person_opens_a_door"")",0.354,0,False,C,0.966,0.892,0.07399999999999995,D,D,False,ok
271,agqa_EIT66.mp4,agqa,1.32,short_star_agqa,What does the person do in the video ?,put a phone somewhere,"(""person_puts_a_phone_somewhere"")",0.412,1,False,wash a cup,"(""person_washes_a_cup"")",0.975,0,False,take a pillow from somewhere,"(""person_takes_a_pillow_from_somewhere"")",0.929,0,False,put something on a table,"(""person_puts_something_on_a_table"")",0.893,0,False,B,0.975,0.929,0.04599999999999993,A,A,False,ok
678,agqa_2U0GH.mp4,agqa,1.2,short_star_agqa,What action does the person do throughout the video ?,take some clothes from somewhere,"(""person_takes_some_clothes_from_somewhere"")",0.443,0,False,stand up,"(""person_stands_up"")",0.309,0,False,wash a dish,"(""person_washes_a_dish"")",0.948,0,False,put clothes somewhere,"(""person_puts_clothes_somewhere"")",0.261,0,False,C,0.948,0.443,0.5049999999999999,C,C,True,ok
720,ct_Qf2E1pEiaXM.mp4,ct,198.06,long_ct,What does the person do in the video ?,pour lemon juice,"(""person_pours_lemon_juice"")",0.978,0,False,close cap,"(""person_closes_cap"")",0.965,0,False,add sugar,"(""person_adds_sugar"")",0.965,0,True,lower jack,"(""person_lowers_jack"")",0.806,0,False,A,0.978,0.965,0.013000000000000012,C,C,False,ok
1387,agqa_JJ47B.mp4,agqa,0.76,mid_agqa,What action does the person do throughout the video ?,sit in a chair,"(""person_sits_in_a_chair"")",0.941,1,True,play with a phone,"(""person_plays_with_a_phone"")",0.91,1,True,take a phone from somewhere,"(""person_takes_a_phone_from_somewhere"")",0.622,1,True,open a closet,"(""person_opens_a_closet"")",0.963,0,False,D,0.963,0.941,0.02200000000000002,A,B,False,ok
1460,agqa_5LJ3J.mp4,agqa,0.88,mid_agqa,What does the person do in the video ?,grasp onto a doorknob,"(""person_grasps_onto_a_doorknob"")",0.926,0,False,put a blanket somewhere,"(""person_puts_a_blanket_somewhere"")",0.46,1,False,take paper from somewhere,"(""person_takes_paper_from_somewhere"")",0.838,1,True,open a laptop,"(""person_opens_a_laptop"")",0.906,0,False,A,0.926,0.906,0.020000000000000018,B,B,False,ok
1597,agqa_LPPFL.mp4,agqa,0.36,short_star_agqa,What action does the person do throughout the video ?,hold a cup of something,"(""person_holds_a_cup_of_something"")",0.824,1,True,drink from a cup,"(""person_drinks_from_a_cup"")",0.848,1,True,hold some clothes,"(""person_holds_some_clothes"")",0.373,1,False,work at a table,"(""person_works_at_a_table"")",0.942,1,True,D,0.942,0.848,0.09399999999999997,D,D,True,ok
1635,ct_eEBZ0nY0FFI.mp4,ct,319.83,long_ct,What does the person do in the video ?,flip bread,"(""person_flips_bread"")",0.989,0,False,flip steak,"(""person_flips_steak"")",0.988,0,False,remove cap,"(""person_removes_cap"")",0.987,0,True,add spices,"(""person_adds_spices"")",0.988,0,True,A,0.989,0.988,0.0010000000000000009,D,C,False,ok
1947,agqa_9OMY1.mp4,agqa,0.92,mid_agqa,What does the person do in the video ?,sit in a chair,"(""person_sits_in_a_chair"")",0.959,1,True,wash a dish,"(""person_washes_a_dish"")",0.956,0,False,tidy up a table,"(""person_tidies_up_a_table"")",0.753,1,True,throw something on the floor,"(""person_throws_something_on_the_floor"")",0.46,1,False,A,0.959,0.956,0.0030000000000000027,A,A,True,ok
